0DTg2,5r2/2q3k1/1b1p4/1p2nrp1/8/1BN5/PQ3PPP/R4RK1 w KQkq - 0 1,c3d5 f5f2 f1f2 f8f2 b2f2 b6f2,https://lichess.org/training/0DTg2
3LZcb,1n3r1k/p5pp/1p6/4Bb1n/1PB3P1/P4P2/4Q2P/2q2NK1 b KQkq - 0 1,h5f4 e5g7 h8g7 e2e7 g7g6 e7f8,https://lichess.org/training/3LZcb
3YD1E,rn3knQ/ppp3p1/4p3/5qp1/3b2N1/2N5/PP3PPP/R3R1K1 w KQkq - 0 1,g4h6 f5f2 g1h1 g7h6 h8h7 f2f7,https://lichess.org/training/3YD1E
3vgl0,b5k1/p1p3p1/1pp2q1p/2bnN3/2Q1R3/2N5/PPP2PPP/6K1 w KQkq - 0 1,e5d7 f6f2 g1h1 f2g1,https://lichess.org/training/3vgl0
53T3E,2k3r1/pp3N2/1bn3qp/4r3/2Q1p2P/P2p2P1/1PP2P2/R1B2RK1 w KQkq - 0 1,f7e5 g6g3 g1h1 g3h4,https://lichess.org/training/53T3E
5CVy7,r1b1r1k1/pp3ppp/2n5/2p3q1/8/3PNQ2/B1PK1PPP/1R5R b KQkq - 0 1,c6d4 f3f7 g8h8 f7e8,https://lichess.org/training/5CVy7
6PUXq,r4rk1/1p2pp2/p2p3R/4nP2/8/1B6/PPPQ2p1/2KN2q1 b KQkq - 0 1,e5f3 h6g6 g8h7 d2h6,https://lichess.org/training/6PUXq
7iVdm,b1r3k1/q3ppbp/p4np1/1pN3Q1/1P5P/PB4N1/6P1/3R2K1 b KQkq - 0 1,f6e4 g3e4 a8e4 d1d7 a7d7 c5d7,https://lichess.org/training/7iVdm
AwtMW,5r2/1k1nQ1p1/p1b1P1B1/1p5p/3p4/2N5/PPP2qPP/6RK w KQkq - 0 1,c3d1 f2g2 g1g2 f8f1,https://lichess.org/training/AwtMW
BfitU,3r1rk1/2q2n1p/1p1N2pb/p2Q4/5P2/PPp3P1/2P2B1P/2KR3R w KQkq - 0 1,d6b5 h6f4 c1b1 d8d5 b5c7 d5d1 h1d1 f4c7,https://lichess.org/training/BfitU
C24H7,r4rk1/pppn1pp1/3pn1bp/2b1pP2/2B1P1Pq/2PP1Q1N/PP6/RNB2R1K b KQkq - 0 1,e6g5 c1g5 h6g5 f5g6,https://lichess.org/training/C24H7
C9Y2Q,r3rbk1/1b2npp1/pq6/1p3PB1/3N3Q/1B6/PPP4P/4RRK1 b KQkq - 0 1,e7f5 f1f5 e8e1 g1f2 e1e6 f5f7 f8c5 g5e3 g8f7 b3e6 b6e6 d4e6,https://lichess.org/training/C9Y2Q
D7Ype,r1b3k1/pp3pbp/2np2p1/4r3/3N3q/1B2BQ1P/PPP2NP1/R3K2R b KQkq - 0 1,c6d4 f3f7 g8h8 f7g8,https://lichess.org/training/D7Ype
FAhJG,r1b1r1k1/pp3pbp/2pB4/4n3/2BpP1q1/3P4/PPPQ2N1/R4RK1 b KQkq - 0 1,e5f3 f1f3 g4f3 a1f1,https://lichess.org/training/FAhJG
Hqqwr,r3k2r/1p1n2pp/p3pq2/2b5/Q7/2N5/PP3PPP/R1B1R1K1 w KQkq - 0 1,c3d5 f6f2 g1h1 f2e1,https://lichess.org/training/Hqqwr
Mv6UF,r1b2rk1/1p3ppp/p6q/4p1n1/2B3PN/8/5QRK/3R4 b KQkq - 0 1,g5e4 f2f7 f8f7 d1d8,https://lichess.org/training/Mv6UF
O26Pk,r1b2k1r/p1p3p1/2pq1n2/2b3p1/4p3/1BN2Q2/PPPP1PPP/R1B2RK1 w KQkq - 0 1,c3e4 d6h2,https://lichess.org/training/O26Pk
RH9un,r1b2k1r/ppp3pp/2p2n2/2bq3B/8/5Q2/PPPP1PPP/RNB2RK1 w KQkq - 0 1,b1c3 d5h5 f3h5 f6h5,https://lichess.org/training/RH9un
Sgd5X,r4rk1/4pp1p/1qPp2p1/p7/P2NnP2/1B4R1/3Bb1PP/1Q4K1 b KQkq - 0 1,e4d2 b3f7 f8f7 b1b6,https://lichess.org/training/Sgd5X
TpNyD,N1b1knQ1/pp2q1pp/8/2b1r3/8/2N5/PP3PPP/R1BR2K1 w KQkq - 0 1,c3d5 e5e1 d1e1 e7e1,https://lichess.org/training/TpNyD
WccmO,r3k2r/p2n1ppp/1q2b3/1Qbp4/4p3/2N3P1/PP2PPBP/R1BR2K1 w KQkq - 0 1,c3d5 e6d5 b5b6 d7b6,https://lichess.org/training/WccmO
dMz7t,r3k3/p3nr1p/pq2QBp1/2bpP3/8/2N5/PPP2PPP/R4RK1 w KQkq - 0 1,c3d5 b6e6 d5c7 e8d7 c7e6 d7e6,https://lichess.org/training/dMz7t
iPJie,r3k2r/pp3ppp/2n5/2b1p3/Q3n3/2Nq1bP1/PP1PNP1P/R1B1RBK1 w KQkq - 0 1,e2f4 c5f2,https://lichess.org/training/iPJie
